Query,RetrievedDocuments
40012.query,VOM19980223.0900.1900 VOM19980223.0900.3502 VOM19980624.0900.0261 VOM19980225.0900.0458 VOM19980225.0900.2154 VOM19980325.0900.0356 VOM19980521.0900.0254 VOM19980302.0900.0368 VOM19980430.0900.0231 VOM19980415.0900.0272 VOM19980604.0900.0246 VOM19980618.0730.0119 VOM19980303.0700.0696 VOM19980316.0700.0649 VOM19980317.0700.0510 VOM19980527.0730.0233 VOM19980227.0900.0358 VOM19980520.0900.0248 VOM19980617.0900.0206 VOM19980610.0730.0140 VOM19980611.0900.0253 VOM19980422.0900.0246 VOM19980520.0700.0476 VOM19980220.0900.0330 VOM19980604.0700.0534 VOM19980521.0730.0273 VOM19980624.0700.0546 VOM19980619.0700.0553 VOM19980630.0700.0457 VOM19980506.0700.0472 VOM19980618.0700.0542 VOM19980507.0700.0546 VOM19980423.0900.0253 VOM19980403.0900.0173 VOM19980410.0900.0207 VOM19980306.0700.0593 VOM19980325.0900.2134 VOM19980602.0700.0547 VOM19980603.0700.0545 VOM19980319.0700.0678 VOM19980603.0900.0243 VOM19980220.0700.0620 VOM19980326.0900.0371 VOM19980526.0730.0266 VOM19980326.0700.0657 VOM19980616.0700.0538 VOM19980609.0700.0520 VOM19980326.0900.2164 VOM19980326.0700.2359 VOM19980602.0730.0163 
40013.query,VOM19980325.0900.0905 VOM19980303.0700.2491 VOM19980327.0900.1545 VOM19980319.0700.0452 VOM19980220.0700.1297 VOM19980302.0900.2091 VOM19980226.0900.2027 VOM19980224.0700.2219 VOM19980403.0700.0727 VOM19980319.0700.0722 VOM19980317.0700.0924 VOM19980326.0900.2164 VOM19980326.0700.2359 VOM19980305.0900.0492 VOM19980224.0900.1247 VOM19980319.0900.0647 VOM19980317.0900.1247 VOM19980221.0700.2690 VOM19980317.0900.0424 VOM19980404.0700.0676 VOM19980305.0700.0763 VOM19980326.0900.1939 VOM19980317.0900.0757 VOM19980317.0900.2819 VOM19980316.0900.3018 VOM19980314.0700.1261 VOM19980220.0700.1448 VOM19980404.0700.1061 VOM19980403.0900.1341 VOM19980403.0900.0619 VOM19980325.0900.2250 VOM19980225.0700.2209 VOM19980312.0900.2795 VOM19980304.0900.0509 VOM19980403.0900.0431 VOM19980305.0900.1306 VOM19980319.0900.0364 VOM19980327.0900.2955 VOM19980314.0700.0818 VOM19980403.0900.2349 VOM19980403.0700.1169 VOM19980302.0900.0670 VOM19980319.0900.1421 VOM19980316.0700.2045 VOM19980403.0900.0987 VOM19980306.0700.1916 VOM19980326.0900.0576 VOM19980302.0700.0653 VOM19980223.0700.1993 VOM19980327.0900.0757 
40014.query,VOM19980326.0900.2164 VOM19980326.0700.2359 VOM19980317.0900.2819 VOM19980327.0900.2062 VOM19980406.0900.0044 VOM19980327.0900.1545 VOM19980316.0900.3018 VOM19980404.0700.0676 VOM19980222.0700.0448 VOM19980326.0900.1939 VOM19980404.0700.1061 VOM19980226.0900.2027 VOM19980221.0700.2690 VOM19980403.0900.0431 VOM19980403.0700.1169 VOM19980225.0900.2949 VOM19980302.0900.2091 VOM19980316.0900.2774 VOM19980220.0700.1159 VOM19980224.0700.2219 VOM19980404.0700.0406 VOM19980312.0900.2408 VOM19980226.0900.3196 VOM19980312.0900.2795 VOM19980317.0700.0924 VOM19980223.0700.2728 VOM19980511.0700.0105 VOM19980317.0900.1247 VOM19980319.0900.0647 VOM19980403.0900.0619 VOM19980325.0900.2250 VOM19980403.0700.0727 VOM19980220.0700.1448 VOM19980325.0900.0905 VOM19980314.0700.0818 VOM19980225.0900.2203 VOM19980316.0900.0475 VOM19980325.0900.3063 VOM19980319.0700.0722 VOM19980306.0700.1456 VOM19980314.0700.1261 VOM19980306.0700.1916 VOM19980403.0700.0129 VOM19980224.0900.1247 VOM19980312.0900.0990 VOM19980316.0900.0805 VOM19980403.0900.2349 VOM19980403.0900.2034 VOM19980303.0700.2491 VOM19980403.0700.1459 
40015.query,VOM19980630.0730.0191 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980403.0900.2613 VOM19980305.0900.0413 VOM19980604.0730.0077 VOM19980604.0700.0157 VOM19980228.0700.2757 VOM19980531.0730.0076 VOM19980524.0730.0031 VOM19980531.0700.0235 VOM19980302.0700.1233 VOM19980604.0700.0126 VOM19980221.0700.2442 VOM19980226.0900.3443 VOM19980524.0700.0192 VOM19980315.0700.1383 VOM19980226.0900.1806 VOM19980225.0900.1428 VOM19980220.0900.2583 VOM19980223.0900.2973 VOM19980319.0900.2928 VOM19980510.0730.0142 VOM19980403.0900.2349 VOM19980228.0700.2616 VOM19980624.0700.0044 VOM19980317.0900.0152 VOM19980317.0900.1955 VOM19980317.0700.0156 VOM19980403.0700.0727 VOM19980319.0900.2782 VOM19980609.0900.0107 VOM19980618.0700.0187 VOM19980521.0900.0177 VOM19980315.0700.1148 VOM19980627.0700.0022 VOM19980630.0700.0187 VOM19980305.0900.0814 VOM19980314.0700.1261 VOM19980617.0700.0304 VOM19980617.0730.0112 VOM19980617.0900.0007 VOM19980222.0700.1274 VOM19980304.0900.0509 VOM19980317.0700.0723 VOM19980319.0700.1102 VOM19980628.0700.0025 VOM19980316.0900.0416 VOM19980325.0900.0676 VOM19980627.0730.0153 
40016.query,VOM19980618.0730.0044 VOM19980618.0700.0076 VOM19980610.0700.0551 VOM19980611.0700.0548 VOM19980616.0700.0538 VOM19980618.0700.0542 VOM19980617.0700.0554 VOM19980624.0700.0546 VOM19980603.0700.0545 VOM19980609.0700.0520 VOM19980602.0700.0547 VOM19980507.0700.0546 VOM19980506.0700.0472 VOM19980604.0700.0534 VOM19980617.0900.0206 VOM19980326.0700.0657 VOM19980526.0730.0266 VOM19980630.0700.0457 VOM19980520.0700.0476 VOM19980611.0900.0253 VOM19980319.0700.0678 VOM19980619.0700.0553 VOM19980403.0900.3340 VOM19980403.0700.0323 VOM19980325.0900.2134 VOM19980618.0700.0187 VOM19980424.0900.0246 VOM19980618.0730.0119 VOM19980403.0900.2079 VOM19980306.0700.0593 VOM19980610.0730.0140 VOM19980614.0730.0231 VOM19980403.0900.2970 VOM19980620.0700.0040 VOM19980614.0700.0302 VOM19980403.0900.0173 VOM19980511.0730.0266 VOM19980616.0900.0100 VOM19980616.0730.0180 VOM19980220.0700.0620 VOM19980404.0700.0406 VOM19980403.0700.0185 VOM19980223.0900.1900 VOM19980223.0900.3502 VOM19980603.0900.0243 VOM19980527.0730.0233 VOM19980316.0900.2774 VOM19980619.0900.0076 VOM19980619.0730.0076 VOM19980403.0700.3284 
40017.query,VOM19980317.0700.0156 VOM19980314.0700.1261 VOM19980317.0900.1955 VOM19980317.0900.0152 VOM19980623.0900.0051 VOM19980403.0900.2349 VOM19980317.0700.3639 VOM19980312.0900.1827 VOM19980624.0700.0044 VOM19980312.0900.3403 VOM19980625.0730.0002 VOM19980624.0730.0001 VOM19980624.0900.0001 VOM19980611.0700.0150 VOM19980611.0730.0062 VOM19980611.0900.0110 VOM19980317.0700.0723 VOM19980626.0700.0131 VOM19980312.0900.0230 VOM19980626.0700.0029 VOM19980314.0700.0818 VOM19980317.0700.0924 VOM19980403.0700.0727 VOM19980627.0700.0022 VOM19980625.0700.0037 VOM19980319.0700.1102 VOM19980403.0900.2613 VOM19980303.0900.1646 VOM19980223.0900.2779 VOM19980602.0700.0245 VOM19980315.0700.0452 VOM19980220.0700.1448 VOM19980628.0700.0025 VOM19980630.0700.0071 VOM19980630.0730.0043 VOM19980326.0900.0433 VOM19980623.0700.0039 VOM19980430.0900.0001 VOM19980621.0700.0092 VOM19980403.0900.0987 VOM19980327.0900.0757 VOM19980404.0700.1295 VOM19980314.0700.0478 VOM19980224.0700.2219 VOM19980627.0730.0001 VOM19980626.0900.0075 VOM19980303.0700.1822 VOM19980312.0900.0497 VOM19980620.0700.0143 VOM19980626.0730.0070 
40018.query,VOM19980404.0700.0406 VOM19980614.0700.0302 VOM19980618.0700.0542 VOM19980529.0700.0392 VOM19980618.0700.0114 VOM19980614.0730.0231 VOM19980603.0700.0545 VOM19980403.0900.2079 VOM19980624.0700.0546 VOM19980403.0900.0173 VOM19980616.0700.0538 VOM19980630.0700.0457 VOM19980618.0700.0076 VOM19980618.0730.0044 VOM19980507.0700.0546 VOM19980403.0700.0185 VOM19980604.0700.0534 VOM19980520.0700.0476 VOM19980506.0700.0472 VOM19980602.0700.0547 VOM19980403.0900.3340 VOM19980312.0900.2408 VOM19980617.0900.0206 VOM19980610.0700.0551 VOM19980620.0700.0040 VOM19980526.0730.0266 VOM19980611.0700.0548 VOM19980222.0700.0448 VOM19980403.0900.2970 VOM19980325.0900.2134 VOM19980609.0700.0520 VOM19980303.0700.0590 VOM19980621.0730.0001 VOM19980306.0700.0593 VOM19980621.0700.0052 VOM19980312.0900.2127 VOM19980611.0900.0253 VOM19980617.0700.0554 VOM19980619.0700.0553 VOM19980620.0730.0003 VOM19980220.0700.1159 VOM19980424.0900.0246 VOM19980618.0730.0119 VOM19980222.0700.0302 VOM19980326.0700.0657 VOM19980430.0900.0231 VOM19980220.0700.2956 VOM19980403.0700.0323 VOM19980319.0700.0678 VOM19980521.0730.0273 
40019.query,VOM19980403.0900.0619 VOM19980618.0700.0187 VOM19980222.0700.0448 VOM19980327.0900.2062 VOM19980406.0900.0044 VOM19980616.0900.0100 VOM19980616.0730.0180 VOM19980620.0700.0040 VOM19980404.0700.0676 VOM19980404.0700.0406 VOM19980316.0900.2774 VOM19980221.0700.2690 VOM19980404.0700.1061 VOM19980312.0900.2408 VOM19980618.0700.0076 VOM19980618.0730.0044 VOM19980614.0700.0302 VOM19980220.0700.1159 VOM19980403.0700.1169 VOM19980616.0700.0538 VOM19980327.0900.1545 VOM19980223.0700.2728 VOM19980326.0700.2359 VOM19980226.0900.2027 VOM19980326.0900.2164 VOM19980403.0700.0727 VOM19980314.0700.0818 VOM19980614.0730.0231 VOM19980317.0700.0924 VOM19980403.0900.0431 VOM19980222.0700.0302 VOM19980312.0900.0825 VOM19980228.0700.0268 VOM19980316.0900.3018 VOM19980620.0730.0003 VOM19980610.0700.0551 VOM19980621.0700.0052 VOM19980225.0900.2949 VOM19980621.0730.0001 VOM19980611.0700.0548 VOM19980507.0700.0546 VOM19980618.0700.0542 VOM19980403.0900.2349 VOM19980403.0900.2079 VOM19980603.0700.0545 VOM19980220.0700.1055 VOM19980303.0700.1291 VOM19980224.0700.2219 VOM19980317.0900.2819 VOM19980609.0700.0520 
40020.query,VOM19980624.0700.0546 VOM19980603.0700.0545 VOM19980618.0700.0542 VOM19980630.0700.0457 VOM19980526.0730.0266 VOM19980602.0700.0547 VOM19980604.0700.0534 VOM19980610.0700.0551 VOM19980520.0700.0476 VOM19980507.0700.0546 VOM19980611.0700.0548 VOM19980616.0700.0538 VOM19980506.0700.0472 VOM19980609.0700.0520 VOM19980325.0900.2134 VOM19980618.0700.0076 VOM19980618.0730.0044 VOM19980617.0700.0554 VOM19980306.0700.0593 VOM19980319.0700.0678 VOM19980617.0900.0206 VOM19980326.0700.0657 VOM19980619.0700.0553 VOM19980403.0700.0323 VOM19980424.0900.0246 VOM19980403.0900.3340 VOM19980611.0900.0253 VOM19980618.0730.0119 VOM19980521.0730.0273 VOM19980220.0700.0620 VOM19980403.0900.0173 VOM19980403.0900.2079 VOM19980316.0700.0649 VOM19980610.0730.0140 VOM19980618.0700.0187 VOM19980403.0900.2970 VOM19980223.0900.1900 VOM19980223.0900.3502 VOM19980325.0900.0356 VOM19980624.0900.0261 VOM19980430.0900.0231 VOM19980511.0730.0266 VOM19980302.0900.0368 VOM19980423.0900.0253 VOM19980520.0900.0248 VOM19980527.0730.0233 VOM19980220.0900.0330 VOM19980614.0730.0231 VOM19980227.0900.0358 VOM19980603.0900.0243 
40021.query,VOM19980325.0900.3425 VOM19980224.0900.2345 VOM19980220.0900.2583 VOM19980403.0700.0727 VOM19980325.0900.3393 VOM19980317.0700.0924 VOM19980223.0700.0765 VOM19980317.0700.0723 VOM19980404.0700.0676 VOM19980403.0900.1729 VOM19980315.0700.0452 VOM19980327.0900.0757 VOM19980312.0900.0497 VOM19980316.0900.1523 VOM19980303.0700.1822 VOM19980314.0700.0818 VOM19980326.0900.0433 VOM19980225.0900.1275 VOM19980224.0700.2219 VOM19980314.0700.1261 VOM19980319.0700.1102 VOM19980312.0900.2016 VOM19980314.0700.0478 VOM19980403.0900.2349 VOM19980319.0900.0647 VOM19980223.0900.2779 VOM19980223.0700.1993 VOM19980303.0700.1652 VOM19980404.0700.2088 VOM19980319.0900.0451 VOM19980326.0700.0452 VOM19980503.0700.0178 VOM19980220.0700.1448 VOM19980403.0900.1341 VOM19980226.0900.2027 VOM19980503.0730.0098 VOM19980317.0900.0757 VOM19980224.0900.3453 VOM19980317.0700.0156 VOM19980326.0900.0118 VOM19980403.0900.0987 VOM19980526.0730.0131 VOM19980626.0700.0029 VOM19980223.0900.2288 VOM19980305.0900.0492 VOM19980327.0900.2955 VOM19980526.0700.0342 VOM19980303.0700.0524 VOM19980327.0900.0425 VOM19980526.0900.0186 
